facid,site,name,address,zone,owned,status,latitude,longitude
0000,CEN,FAC ID-NON-BLDG ORGS,NOT APPLICABLE,,,OPEN,,
0110,CEN,CALVIN HILL DAY CARE,"HIGHLAND STREET, 150",ZONE 2,OO,OPEN,41.328181,-72.920866
0120,CEN,WHITEHALL APTS 375-385,"CANNER STREET, 375-385",ZONE 2,OO,OPEN,41.325814,-72.921398
0122,CEN,WHITEHALL APTS 405-407,"CANNER STREET, 405-407",ZONE 2,OO,OPEN,41.326013,-72.922116
0124,CEN,WHITEHALL APTS 511-521,"PROSPECT STREET, 511-521",ZONE 2,OO,OPEN,41.326293,-72.921995
0125,CEN,WHITEHALL APTS 533-543,"PROSPECT STREET, 533-543",ZONE 2,OO,OPEN,41.32656,-72.921649
0200,CEN,CEDARHURST SCHOOL,"PROSPECT STREET, 871",ZONE 2,OO,OPEN,41.335173,-72.918663
0250,CEN,"ST. RONAN ST, 363","ST. RONAN STREET, 363",,A,OPEN,41.325475,-72.918126
0300,CEN,"EDWARDS ST, 309","EDWARDS STREET, 309",ZONE 2,OO,OPEN,41.319989,-72.920017
0302,CEN,"ST. RONAN ST, 175","ST. RONAN STREET, 175",ZONE 2,OO,OPEN,41.320271,-72.919598
0305,CEN,"ST. RONAN ST, 160","ST. RONAN STREET, 160",ZONE 2,OO,OPEN,41.3201166485,-72.9207570772
0306,CEN,LOT  66 - 160 ST RONAN,"ST. RONAN STREET, 160",ZONE 2,OO,OPEN,41.3202033869,-72.9209551168
0400,CEN,FISHER HALL (DIV),"CANNER STREET, 352",ZONE 2,OO,OPEN,41.325097,-72.920165
0405,CEN,BELLAMY HALL (DIV),"CANNER STREET, 354",ZONE 2,OO,OPEN,41.324626,-72.920499
0410,CEN,CURTIS HALL (DIV),"CANNER STREET, 350",ZONE 2,OO,OPEN,41.324559,-72.91994
0425,CEN,FARNAM GARDENS,"PROSPECT STREET, 335",ZONE 2,OO,OPEN,41.32057,-72.922467
0430,CEN,LEITNER OBSV & PLANET.,"PROSPECT STREET, 355",ZONE 2,OO,OPEN,41.321142,-72.921943
0434,CEN,GREENBERG CONF CENTER,"PROSPECT STREET, 391",OUTSOURCE,OO,OPEN,41.322215,-72.921924
0435,CEN,BETTS HOUSE,"PROSPECT STREET, 393",OUTSOURCE,OO,OPEN,41.322497,-72.922121
