facid,bsID
0000,59
0110,59
0120,59
0122,59
0124,59
0125,59
0200,59
0250,59
0300,59
0302,59
0305,59
0306,59
0400,52
0400,59
0405,52
0405,59
0410,3
0410,5
0410,21
0410,52
0425,59
0430,59
0434,3
0434,5
0434,21
0434,55
0435,3
0435,5
0435,21
0435,54
0440,3
0440,5
0440,21
0440,53
0442,59
0445,59
0502,59
0504,59
0505,59
0506,59
0507,59
0509,59
0510,59
0511,59
0512,59
0513,59
0514,59
0520,59
0525,59
0535,59
0545,59
0550,59
0555,59
0605,59
0645,59
0655,59
0700,59
0705,59
0710,59
0745,59
0750,59
0800,3
0800,5
0800,21
0805,3
0805,5
0805,21
0806,3
0806,5
0806,21
0810,3
0810,5
0810,21
0815,3
0815,5
0815,21
0820,3
0820,5
0820,21
0900,3
0900,5
0900,21
0905,3
0905,5
0905,21
0910,3
0910,5
0910,21
0915,3
0915,5
0915,21
0920,3
0920,5
0920,21
0921,3
0921,5
0921,21
0924,3
0924,5
0924,21
0925,3
0925,5
0925,21
0925,53
1000,59
1005,59
1006,3
1006,5
1006,21
1006,55
1007,59
1009,59
1010,59
1011,59
1012,59
1015,3
1015,5
1015,21
1015,53
1020,3
1020,5
1020,21
1020,50
1023,3
1023,5
1023,21
1023,50
1025,3
1025,5
1025,21
1025,50
1030,3
1030,5
1030,21
1030,50
1035,50
1036,3
1036,5
1036,21
1040,3
1040,5
1040,21
1040,50
1045,3
1045,5
1045,21
1045,51
1049,3
1049,5
1049,21
1049,50
1055,3
1055,5
1055,21
1055,50
1067,3
1067,5
1067,21
1067,53
1070,3
1070,5
1070,21
1070,54
1075,3
1075,5
1075,21
1075,53
1080,3
1080,5
1080,21
1085,3
1085,5
1085,21
1085,50
1090,3
1090,5
1090,21
1090,50
1093,3
1093,5
1093,21
1093,50
1095,59
1100,3
1100,5
1100,21
1100,54
1105,3
1105,5
1105,21
1110,3
1110,5
1110,21
1110,54
1120,3
1120,5
1120,21
1120,55
1125,3
1125,5
1125,21
1125,55
1130,3
1130,5
1130,21
1130,55
1135,3
1135,5
1135,21
1135,55
1140,3
1140,5
1140,21
1140,54
1145,3
1145,5
1145,21
1145,55
1152,3
1152,5
1152,21
1180,3
1180,5
1180,21
1180,53
1200,3
1200,5
1200,21
1200,55
1205,3
1205,5
1205,21
1205,54
1210,3
1210,5
1210,21
1210,55
1215,3
1215,5
1215,21
1215,55
1220,3
1220,5
1220,21
1220,55
1225,3
1225,5
1225,21
1225,54
1230,3
1230,5
1230,21
1230,54
1235,3
1235,5
1235,21
1235,54
1236,3
1236,5
1236,21
1240,3
1240,5
1240,21
1240,55
1250,3
1250,5
1250,21
1250,54
1255,3
1255,5
1255,21
1255,54
1261,3
1261,5
1261,21
1261,53
1350,3
1350,5
1350,21
1354,3
1354,5
1354,21
1385,3
1385,5
1385,21
1385,54
1390,3
1390,5
1390,21
1390,53
1401,59
1402,59
1405,59
1413,3
1413,5
1413,21
1413,52
1425,20
1425,59
1431,59
1436,3
1436,5
1436,21
1436,55
1439,59
1440,3
1440,5
1440,21
1440,53
1445,3
1445,5
1445,21
1445,53
1482,59
1484,59
1485,59
1486,59
1487,59
1489,59
1500,3
1500,5
1500,21
1505,3
1505,5
1505,21
1505,54
1510,3
1510,5
1510,21
1510,50
1515,3
1515,5
1515,21
1515,54
1520,3
1520,5
1520,21
1520,53
1525,3
1525,5
1525,21
1530,3
1530,5
1530,21
1530,53
1540,3
1540,5
1540,21
1540,50
1605,3
1605,5
1605,21
1605,55
1610,3
1610,5
1610,21
1610,55
1612,3
1612,5
1612,21
1612,55
1615,3
1615,5
1615,21
1615,52
1620,3
1620,5
1620,21
1620,54
1625,3
1625,5
1625,21
1625,54
1630,3
1630,5
1630,21
1630,53
1635,3
1635,5
1635,21
1635,51
1640,3
1640,5
1640,21
1640,53
1705,59
1715,3
1715,5
1715,21
1715,52
1720,59
1725,59
1727,59
1730,55
1730,59
1750,59
1760,59
1775,59
1800,3
1800,5
1800,21
1800,52
1810,3
1810,5
1810,21
1810,54
1815,3
1815,5
1815,21
1820,3
1820,5
1820,21
1820,52
1825,3
1825,5
1825,21
1825,55
1830,3
1830,5
1830,21
1830,55
1835,3
1835,5
1835,21
1835,54
1840,3
1840,5
1840,21
1840,54
1900,3
1900,5
1900,21
1900,54
1905,3
1905,5
1905,21
1905,54
1913,3
1913,5
1913,21
1913,54
1920,3
1920,5
1920,21
1920,55
1925,3
1925,5
1925,21
1925,55
1930,3
1930,5
1930,21
1930,54
1935,3
1935,5
1935,21
1940,3
1940,5
1940,21
1940,54
1945,3
1945,5
1945,21
1945,54
1946,59
1948,3
1948,5
1948,21
1950,3
1950,5
1950,21
1950,54
1955,3
1955,5
1955,21
1955,54
1960,3
1960,5
1960,21
1960,55
1985,59
2000,3
2000,5
2000,21
2000,53
2005,3
2005,5
2005,21
2005,51
2007,3
2007,5
2007,21
2008,3
2008,5
2008,21
2010,3
2010,5
2010,21
2010,53
2015,3
2015,5
2015,21
2015,53
2018,3
2018,5
2018,21
2020,3
2020,5
2020,21
2020,55
2025,3
2025,5
2025,21
2025,54
2030,3
2030,5
2030,21
2030,53
2035,3
2035,5
2035,21
2035,52
2040,3
2040,5
2040,21
2040,52
2045,3
2045,5
2045,21
2045,51
2050,3
2050,5
2050,21
2050,52
2055,3
2055,5
2055,21
2055,51
2100,3
2100,5
2100,21
2100,52
2105,3
2105,5
2105,21
2105,53
2110,59
2125,59
2130,59
2140,3
2140,5
2140,21
2140,54
2145,3
2145,5
2145,21
2145,52
2301,59
2304,59
2305,59
2345,59
2400,3
2400,5
2400,21
2403,3
2403,5
2403,21
2403,52
2405,3
2405,5
2405,21
2405,55
2408,3
2408,5
2408,21
2420,3
2420,5
2420,21
2420,52
2425,3
2425,5
2425,21
2425,52
2430,3
2430,5
2430,21
2430,55
2435,3
2435,5
2435,21
2435,54
2438,3
2438,5
2438,21
2440,3
2440,5
2440,21
2440,55
2445,3
2445,5
2445,21
2445,55
2450,3
2450,5
2450,21
2450,55
2455,3
2455,5
2455,21
2455,55
2470,3
2470,5
2470,21
2470,51
2475,59
2480,3
2480,5
2480,21
2480,55
2485,3
2485,5
2485,21
2485,55
2490,3
2490,5
2490,21
2490,55
2500,3
2500,5
2500,21
2500,52
2505,3
2505,5
2505,21
2505,52
2510,3
2510,5
2510,21
2510,52
2515,3
2515,5
2515,21
2515,54
2518,3
2518,5
2518,21
2520,3
2520,5
2520,21
2520,51
2600,3
2600,5
2600,21
2600,52
2605,3
2605,5
2605,21
2605,52
2610,3
2610,5
2610,21
2610,54
2615,3
2615,5
2615,21
2615,52
2620,3
2620,5
2620,21
2620,52
2625,3
2625,5
2625,21
2625,54
2630,3
2630,5
2630,21
2630,52
2635,3
2635,5
2635,21
2635,52
2640,3
2640,5
2640,21
2640,54
2645,3
2645,5
2645,21
2645,52
2650,3
2650,5
2650,21
2650,52
2655,3
2655,5
2655,21
2655,51
2660,3
2660,5
2660,21
2660,53
2665,3
2665,5
2665,21
2665,54
2700,3
2700,5
2700,21
2700,54
2705,3
2705,5
2705,21
2705,51
2706,59
2715,59
2720,59
2725,59
2730,59
2733,59
2735,59
2739,59
2740,59
2744,59
2745,3
2745,5
2745,21
2745,53
2750,59
2752,59
2770,3
2770,5
2770,21
2770,53
2777,59
2778,59
2780,59
2783,59
2786,59
2955,59
2963,59
3000,2
3000,5
3000,21
3000,57
3020,59
3050,2
3050,5
3050,21
3050,57
3065,59
3070,2
3070,5
3070,21
3070,56
3100,2
3100,5
3100,21
3100,57
3105,2
3105,5
3105,21
3105,56
3110,2
3110,5
3110,21
3110,57
3115,2
3115,5
3115,21
3115,56
3120,2
3120,5
3120,21
3120,57
3125,2
3125,5
3125,21
3125,56
3130,2
3130,5
3130,21
3130,56
3140,2
3140,5
3140,21
3140,56
3150,2
3150,5
3150,21
3150,57
3155,2
3155,5
3155,21
3155,56
3160,20
3160,59
3165,2
3165,5
3165,21
3165,56
3175,59
3180,2
3180,5
3180,21
3180,56
3183,59
3200,2
3200,5
3200,21
3200,57
3205,2
3205,5
3205,21
3205,57
3210,59
3300,2
3300,5
3300,21
3300,56
3305,2
3305,5
3305,21
3305,57
3310,2
3310,5
3310,21
3310,56
3315,2
3315,5
3315,21
3315,56
3320,2
3320,5
3320,21
3320,56
3325,2
3325,5
3325,21
3325,57
3330,2
3330,5
3330,21
3330,56
3335,2
3335,5
3335,21
3335,56
3340,2
3340,5
3340,21
3340,57
3345,2
3345,5
3345,21
3345,56
3350,2
3350,5
3350,21
3350,56
3355,2
3355,5
3355,21
3360,2
3360,5
3360,21
3360,57
3370,2
3370,5
3370,21
3370,56
3375,2
3375,5
3375,21
3375,56
3380,2
3380,5
3380,21
3380,56
3385,2
3385,5
3385,21
3385,56
3400,2
3400,5
3400,21
3400,56
3405,59
3520,59
3530,59
3534,59
3540,59
3600,59
3620,59
3625,59
3630,59
3634,59
3635,59
3640,59
3700,59
3710,59
3737,59
3740,59
3743,59
3744,59
3800,59
3805,59
3810,59
3829,59
3830,59
3900,59
3910,59
3912,59
4000,59
4005,59
4010,59
4012,59
4013,59
4018,59
4031,59
4032,59
4040,59
4052,59
4067,59
4099,59
4100,59
4102,59
4118,59
4126,59
4137,59
4200,59
4202,58
4202,59
4206,58
4206,59
4208,58
4208,59
4210,58
4210,59
4215,4
4215,21
4215,58
4220,4
4220,21
4220,58
4225,4
4225,21
4225,58
4227,4
4227,21
4227,58
4230,20
4230,59
4235,4
4235,21
4235,58
4237,4
4237,21
4237,58
4240,4
4240,21
4240,58
4245,4
4245,21
4245,58
4250,4
4250,21
4250,58
4270,4
4270,21
4270,58
4272,4
4272,21
4272,58
4700,59
